Nombre,Marca,Tipo de aroma,Intensidad,Ocasión,Notas,Precio (€),Imagen (URL),Dupe barato,Enlace dupe
Dior Sauvage,Dior,Amaderado,Intensa,Noche/Citas,Pimienta,Bergamota,Ámbar,110,https://m.media-amazon.com/images/I/71rB3XgH7zL._SL1500_.jpg,Zara Vibrant Leather,https://amzn.to/dior-sauvage
Bleu de Chanel,Chanel,Amaderado,Moderada,Oficina/Diario,Cítricos,Cedro,Incienso,120,https://m.media-amazon.com/images/I/61Gg5YxVl7L._SL1500_.jpg,Armaf Club de Nuit Intense Man,https://amzn.to/bleu-de-chanel
Y Eau de Parfum,Yves Saint Laurent,Fougère,Intensa,Noche/Salidas,Jengibre,Salvia,Bergamota,100,https://m.media-amazon.com/images/I/51rR5+9E02L._SL1000_.jpg,Lattafa Asad,https://amzn.to/y-eau-de-parfum
Acqua di Gio,Giorgio Armani,Cítrico,Sutil,Diario/Verano,Notas marinas,Bergamota,Neroli,80,https://m.media-amazon.com/images/I/61k8+j3B-5L._SL1500_.jpg,Zara Man Blue Spirit,https://amzn.to/acqua-di-gio
Aventus,Creed,Chipre,Intensa,Eventos/Especial,Piña,Bergamota,Manzana,Musgo,300,https://m.media-amazon.com/images/I/61p-0l57L4L._SL1500_.jpg,Armaf Club de Nuit Intense Man,https://amzn.to/creed-aventus
Eros,Versace,Aromático,Intensa,Noche/Club,Menta,Manzana verde,Vainilla,75,https://m.media-amazon.com/images/I/614tB8yB61L._SL1500_.jpg,Zara For Him Black Edition,https://amzn.to/versace-eros
One Million,Paco Rabanne,Amaderado,Intensa,Noche/Citas,Pomelo,Menta,Cuero,90,https://m.media-amazon.com/images/I/61E9g+qD8dL._SL1500_.jpg,Zara Man Gold,https://amzn.to/one-million
Invictus,Paco Rabanne,Aromático,Moderada,Diario/Verano,Notas marinas,Pomelo,Hoja de laurel,70,https://m.media-amazon.com/images/I/61l0n-2z7QL._SL1500_.jpg,Zara Man Silver,https://amzn.to/invictus
Code,Giorgio Armani,Oriental,Moderada,Noche/Citas,Bergamota,Limón,Anís,Haba Tonka,95,https://m.media-amazon.com/images/I/61Qh6Y5gNXL._SL1500_.jpg,Zara Uomo,https://amzn.to/armani-code
La Nuit de l'Homme,Yves Saint Laurent,Especiado,Intensa,Noche/Citas,Cardamomo,Lavanda,Cedro,98,https://m.media-amazon.com/images/I/617FpC59yJL._SL1500_.jpg,Lattafa Oud For Glory,https://amzn.to/la-nuit
Versace Pour Homme,Versace,Cítrico,Sutil,Diario/Oficina,Limón,Neroli,Jacinto,70,https://m.media-amazon.com/images/I/718y0jBqW2L._SL1500_.jpg,Zara Seoul,https://amzn.to/versace-pour-homme
Light Blue,Dolce & Gabbana,Cítrico,Moderada,Diario/Verano,Limón,Bambú,Manzana,78,https://m.media-amazon.com/images/I/61m1R5hB8fL._SL1500_.jpg,Zara Lightly Bloom,https://amzn.to/light-blue
Le Male,Jean Paul Gaultier,Oriental,Intensa,Noche/Frio,Menta,Lavanda,Vainilla,85,https://m.media-amazon.com/images/I/61eQ69v9T5L._SL1500_.jpg,Zara Lisboa,https://amzn.to/le-male
Polo Blue,Ralph Lauren,Aromático,Moderada,Diario/Verano,Pepino,Melón,Albahaca,75,https://m.media-amazon.com/images/I/6182cQ4W8lL._SL1500_.jpg,Nautica Voyage,https://amzn.to/polo-blue
Pure XS,Paco Rabanne,Oriental,Intensa,Noche/Club,Jengibre,Canela,Mirra,85,https://m.media-amazon.com/images/I/71EwW3H95BL._SL1500_.jpg,Zara Scent #1,https://amzn.to/pure-xs
Stronger With You,Giorgio Armani,Amaderado,Intensa,Noche/Citas,Cardamomo,Pimienta,Vainilla,95,https://m.media-amazon.com/images/I/6174D-L-5JL._SL1500_.jpg,Zara For Him Red Edition,https://amzn.to/stronger-with-you
Spicebomb Extreme,Viktor & Rolf,Especiado,Intensa,Noche/Invierno,Tabaco,Vainilla,Comino,120,https://m.media-amazon.com/images/I/614g2p1g+nL._SL1500_.jpg,Maison Alhambra Tobacco Touch,https://amzn.to/spicebomb-extreme
Chanel No. 5,Chanel,Floral,Sutil,Oficina/Diario,Aldehídos,Jazmín,Rosa,130,https://m.media-amazon.com/images/I/51z7z9+z0yL._SL1500_.jpg,Zara Nude Bouquet,https://amzn.to/chanel-no5
Angel,Thierry Mugler,Gourmand,Intensa,Noche/Frio,Bergamota,Pachulí,Chocolate,105,https://m.media-amazon.com/images/I/51b+7h+9+1L._SL1500_.jpg,Zara Red Vanilla,https://amzn.to/thierry-mugler-angel
Black Opium,Yves Saint Laurent,Floral,Intensa,Noche/Citas,Café,Vainilla,Pachulí,95,https://m.media-amazon.com/images/I/61y8Qy8r90L._SL1500_.jpg,Zara Gardenia,https://amzn.to/black-opium
Miss Dior,Dior,Floral,Moderada,Diario/Primavera,Rosa,Jazmín,Pachulí,100,https://m.media-amazon.com/images/I/61s-4j7-B9L._SL1500_.jpg,Zara Rose Gourmand,https://amzn.to/miss-dior
Coco Mademoiselle,Chanel,Floral,Intensa,Noche/Citas,Naranja,Rosa,Pachulí,120,https://m.media-amazon.com/images/I/61S+jR0dI-L._SL1500_.jpg,Zara Red Temptation,https://amzn.to/coco-mademoiselle
La Vie Est Belle,Lancôme,Floral,Intensa,Diario/Otoño,Iris,Pachulí,Vainilla,90,https://m.media-amazon.com/images/I/615bL5Pz4xL._SL1500_.jpg,Zara Nuit,https://amzn.to/la-vie-est-belle
Good Girl,Carolina Herrera,Floral,Intensa,Noche/Citas,Almendra,Jazmín,Cacao,95,https://m.media-amazon.com/images/I/61u9n8zB3gL._SL1500_.jpg,Zara Deep Garden,https://amzn.to/good-girl
My Way,Giorgio Armani,Floral,Moderada,Diario/Verano,Bergamota,Nardos,Vainilla,90,https://m.media-amazon.com/images/I/61V-R3yQ5zL._SL1500_.jpg,Zara Golden Decade,https://amzn.to/my-way
Libre,Yves Saint Laurent,Floral,Moderada,Oficina/Otoño,Lavanda,Jazmín,Azahar,98,https://m.media-amazon.com/images/I/61jC8V7MhWL._SL1500_.jpg,Zara Libre like a Boss,https://amzn.to/libre
Sauvage Elixir,Dior,Amaderado,Intensa,Noche/Invierno,Canela,Nuez moscada,Cardamomo,140,https://m.media-amazon.com/images/I/61jC8V7MhWL._SL1500_.jpg,Lattafa Asad,https://amzn.to/sauvage-elixir
Terre d'Hermès,Hermès,Amaderado,Moderada,Oficina/Diario,Naranja,Pomelo,Pimienta,100,https://m.media-amazon.com/images/I/61c4wW-5zEL._SL1500_.jpg,Zara Vetiver Pamplemousse,https://amzn.to/terre-d-hermes
Eternity for Men,Calvin Klein,Aromático,Sutil,Diario/Oficina,Lavanda,Limón,Salvia,60,https://m.media-amazon.com/images/I/61E9g+qD8dL._SL1500_.jpg,Zara 9.0,https://amzn.to/eternity-for-men
Code Absolu,Giorgio Armani,Oriental,Intensa,Noche/Citas,Manzana,Nuez moscada,Haba Tonka,110,https://m.media-amazon.com/images/I/61Qh6Y5gNXL._SL1500_.jpg,Zara Uomo,https://amzn.to/code-absolu
Eros Flame,Versace,Amaderado,Intensa,Noche/Club,Naranja,Limón,Pimienta,78,https://m.media-amazon.com/images/I/61xKqM1-9EL._SL1500_.jpg,Zara Man Gold,https://amzn.to/eros-flame
Polo Red,Ralph Lauren,Amaderado,Moderada,Diario/Verano,Arándano,Azafrán,Café,75,https://m.media-amazon.com/images/I/61l0n-2z7QL._SL1500_.jpg,Zara Vibrant Leather,https://amzn.to/polo-red
Aqva Pour Homme,Bvlgari,Acuático,Sutil,Diario/Verano,Naranja,Petitgrain,Algodón,70,https://m.media-amazon.com/images/I/617FpC59yJL._SL1500_.jpg,Zara Lisboa,https://amzn.to/aqva-pour-homme
Gucci Guilty,Gucci,Oriental,Moderada,Noche/Citas,Limón,Flor de azahar,Pachulí,85,https://m.media-amazon.com/images/I/61s-4j7-B9L._SL1500_.jpg,Zara Vibrant Leather,https://amzn.to/gucci-guilty
Dior Homme Intense,Dior,Floral,Intensa,Noche/Citas,Iris,Vainilla,Cedro,115,https://m.media-amazon.com/images/I/61S+jR0dI-L._SL1500_.jpg,Zara For Him Red Edition,https://amzn.to/dior-homme-intense
Phantom,Paco Rabanne,Aromático,Moderada,Diario/Verano,Limón,Lavanda,Vainilla,85,https://m.media-amazon.com/images/I/61u9n8zB3gL._SL1500_.jpg,Zara Night Pour Homme II,https://amzn.to/phantom
Boss Bottled,Hugo Boss,Amaderado,Moderada,Oficina/Diario,Manzana,Canela,Sándalo,75,https://m.media-amazon.com/images/I/61V-R3yQ5zL._SL1500_.jpg,Zara Man Gold,https://amzn.to/boss-bottled
The One for Men,Dolce & Gabbana,Oriental,Intensa,Noche/Citas,Pomelo,Jengibre,Tabaco,90,https://m.media-amazon.com/images/I/61jC8V7MhWL._SL1500_.jpg,Zara Night Pour Homme II,https://amzn.to/the-one
Le Beau,Jean Paul Gaultier,Amaderado,Moderada,Diario/Verano,Bergamota,Coco,Haba Tonka,85,https://m.media-amazon.com/images/I/617FpC59yJL._SL1500_.jpg,Zara Lisboa,https://amzn.to/le-beau
Azzaro Wanted,Azzaro,Amaderado,Moderada,Diario/Oficina,Jengibre,Cardamomo,Vetiver,80,https://m.media-amazon.com/images/I/61Qh6Y5gNXL._SL1500_.jpg,Zara Man Silver,https://amzn.to/azzaro-wanted
Bad Boy,Carolina Herrera,Oriental,Intensa,Noche/Club,Pimienta,Bergamota,Cacao,95,https://m.media-amazon.com/images/I/61xKqM1-9EL._SL1500_.jpg,Zara For Him Red Edition,https://amzn.to/bad-boy
Spicebomb,Viktor & Rolf,Especiado,Intensa,Noche/Invierno,Chile,Pimienta,Azafrán,105,https://m.media-amazon.com/images/I/614g2p1g+nL._SL1500_.jpg,Maison Alhambra Tobacco Touch,https://amzn.to/spicebomb
Eternity,Calvin Klein,Floral,Sutil,Diario/Oficina,Fresia,Lirio,Sándalo,65,https://m.media-amazon.com/images/I/61m1R5hB8fL._SL1500_.jpg,Zara Femme,https://amzn.to/eternity
J'adore,Dior,Floral,Moderada,Diario/Primavera,Ylang-Ylang,Jazmín,Rosa,110,https://m.media-amazon.com/images/I/61s-4j7-B9L._SL1500_.jpg,Zara Tuberose,https://amzn.to/j-adore
Flowerbomb,Viktor & Rolf,Floral,Intensa,Noche/Otoño,Té,Bergamota,Jazmín,105,https://m.media-amazon.com/images/I/61gVdKxR1BL._SL1500_.jpg,Zara Red Vanilla,https://amzn.to/flowerbomb
Si,Giorgio Armani,Chipre,Moderada,Oficina/Diario,Cassis,Fresia,Rosa,100,https://m.media-amazon.com/images/I/61z+z8u75fL._SL1500_.jpg,Zara Black Peony,https://amzn.to/si-armani
Black Orchid,Tom Ford,Oriental,Intensa,Noche/Invierno,Trufa,Gardenia,Orquídea,140,https://m.media-amazon.com/images/I/61Q6u-6R4nL._SL1500_.jpg,Zara Black Saffron,https://amzn.to/black-orchid
By the Fireplace,Maison Margiela,Amaderado,Intensa,Noche/Invierno,Clavo,Castaña,Vainilla,115,https://m.media-amazon.com/images/I/61Yh9-0yqWL._SL1500_.jpg,Zara Warm Winter,https://amzn.to/by-the-fireplace
Molecule 01,Escentric Molecules,Amaderado,Sutil,Diario/Oficina,Iso E Super,Ambroxan,Cedro,80,https://m.media-amazon.com/images/I/61jC8V7MhWL._SL1500_.jpg,Zara Waterlily Tea Dress,https://amzn.to/molecule-01
Tobacco Vanille,Tom Ford,Oriental,Intensa,Noche/Invierno,Tabaco,Vainilla,Cacao,200,https://m.media-amazon.com/images/I/61s-4j7-B9L._SL1500_.jpg,Zara Tobacco Collection,https://amzn.to/tobacco-vanille
Oud Wood,Tom Ford,Amaderado,Intensa,Noche/Otoño,Palo de rosa,Cardamomo,Oud,180,https://m.media-amazon.com/images/I/61S+jR0dI-L._SL1500_.jpg,Zara Rich Warm Addictive,https://amzn.to/oud-wood
Fucking Fabulous,Tom Ford,Oriental,Intensa,Noche/Especial,Almendra,Lavanda,Cuero,250,https://m.media-amazon.com/images/I/61u9n8zB3gL._SL1500_.jpg,Zara Tobacco Collection,https://amzn.to/fucking-fabulous
